Industry,Sector
Agricultural Chemicals,Basic Materials
Aluminum,Basic Materials
Chemicals - Major Diversified,Basic Materials
Copper,Basic Materials
Gold,Basic Materials
Independent Oil & Gas,Basic Materials
Industrial Metals & Minerals,Basic Materials
Major Integrated Oil & Gas,Basic Materials
Nonmetallic Mineral Mining,Basic Materials
Oil & Gas Drilling & Exploration,Basic Materials
Oil & Gas Equipment & Services,Basic Materials
Oil & Gas Pipelines,Basic Materials
Oil & Gas Refining & Marketing,Basic Materials
Silver,Basic Materials
Specialty Chemicals,Basic Materials
Steel & Iron,Basic Materials
Synthetics,Basic Materials
Conglomerates,Conglomerates
Appliances,Consumer Goods
Auto Manufacturers - Major,Consumer Goods
Auto Parts,Consumer Goods
Beverages - Brewers,Consumer Goods
Beverages - Soft Drinks,Consumer Goods
Beverages - Wineries & Distillers,Consumer Goods
Business Equipment,Consumer Goods
Cigarettes,Consumer Goods
Cleaning Products,Consumer Goods
Confectioners,Consumer Goods
Dairy Products,Consumer Goods
Electronic Equipment,Consumer Goods
Farm Products,Consumer Goods
Food - Major Diversified,Consumer Goods
Home Furnishings & Fixtures,Consumer Goods
Housewares & Accessories,Consumer Goods
Meat Products,Consumer Goods
Office Supplies,Consumer Goods
Packaging & Containers,Consumer Goods
Paper & Paper Products,Consumer Goods
Personal Products,Consumer Goods
Photographic Equipment & Supplies,Consumer Goods
Processed & Packaged Goods,Consumer Goods
"Recreational Goods, Other",Consumer Goods
Recreational Vehicles,Consumer Goods
Rubber & Plastics,Consumer Goods
Sporting Goods,Consumer Goods
Textile - Apparel Clothing,Consumer Goods
Textile - Apparel Footwear & Accessories,Consumer Goods
"Tobacco Products, Other",Consumer Goods
Toys & Games,Consumer Goods
Trucks & Other Vehicles,Consumer Goods
Accident & Health Insurance,Financial
Asset Management,Financial
Closed-End Fund - Debt,Financial
Closed-End Fund - Equity,Financial
Closed-End Fund - Foreign,Financial
Credit Services,Financial
Diversified Investments,Financial
Foreign Money Center Banks,Financial
Foreign Regional Banks,Financial
Insurance Brokers,Financial
Investment Brokerage - National,Financial
Investment Brokerage - Regional,Financial
Life Insurance,Financial
Money Center Banks,Financial
Mortgage Investment,Financial
Property & Casualty Insurance,Financial
Property Management,Financial
REIT - Diversified,Financial
REIT - Healthcare Facilities,Financial
REIT - Hotel/Motel,Financial
REIT - Industrial,Financial
REIT - Office,Financial
REIT - Residential,Financial
REIT - Retail,Financial
Real Estate Development,Financial
Regional - Mid-Atlantic Banks,Financial
Regional - Midwest Banks,Financial
Regional - Northeast Banks,Financial
Regional - Pacific Banks,Financial
Regional - Southeast Banks,Financial
Regional - Southwest Banks,Financial
Savings & Loans,Financial
Surety & Title Insurance,Financial
Biotechnology,Healthcare
